project_id,公開先の種類,名称,正確なURL,公開状態,アクセスできるか,ページが伝えている価値,主要CTAの文言,CTAの遷移先,利用開始までの手順,確認できたリンク切れや導線の問題,計測ツール,計測の状態：コードのみ／設定済み／受信確認済み／未確認,確認状態,根拠,確認日時
forifor-genie,公式ホームページ（英語）,Genie landing page,https://genie-forifor.forifor.chatgpt.site/,公開中,HTTP 200,目標をAIと進め、HTML試作・Webコピー・次の行動まで成果物にする,"Become a tester ↗ / See the work, then try your own",ページ内 #start、GitHub docs/TESTING.md、Issue template,ページで実演を見る→テスターガイド→macOS 14+、ローカルgateway/worker/host/modelを準備→試す→Issue報告,サンプルした同一ドメインの静的参照は200。GitHubトップHTMLは監査時に504だったがgh APIは取得できた。,なし（HTMLにGA/gtag/Plausible等のタグを確認できず）,未設定（ソース観察。ダッシュボード受信は未確認）,確認済み,HTTP/HTML取得（title=Genie — Turn your goals into something useful）、リンク・動画・form参照を確認。,2026-09-14 23:58 JST
forifor-genie,日本語ページ,Genie 日本語 landing page,https://genie-forifor.forifor.chatgpt.site/ja,公開中,HTTP 200,目的を伝え、AIと仕事を進め、使える成果物を残す,テスターとして試す ↗ / 実際の動きを見る,#start、docs/LOCAL_PREVIEW.ja.md、Issue template,3実演またはORBIT→初回起動ガイド→環境準備→一つの仕事→公開Issueへ結果報告,HTMLで外部SNSプロフィールへのリンクは確認できない。問い合わせフォームは存在するが送信未検証。,なし（HTMLに解析タグなし）,未設定（ソース観察。ダッシュボード受信は未確認）,確認済み,HTTP/HTML取得（title=Genie — 考えを、使える成果物に。）。4動画、caption、first-start link、business formを確認。,2026-09-14 23:58 JST
forifor-genie,デモ／利用画面,ORBIT PLAYGROUND,https://genie-forifor.forifor.chatgpt.site/orbit.html,公開中,HTTP 200,生成された小さなHTML作品をブラウザで触れる,作品を動かしてみる ↗,ORBITページ内の操作,URLを開く→ブラウザ上で操作（モデル・登録不要）,登録・ダウンロード・成果計測への導線はない。,なし,未設定,確認済み,HTTP 200、title=ORBIT PLAYGROUND。サイトからのリンクを確認。,2026-09-14 23:58 JST
forifor-genie,GitHubリポジトリ,FORIFOR/genie,https://github.com/FORIFOR/genie,公開中,gh API確認済み／HTMLは監査時HTTP 504,ソース、ドキュメント、Issue、Release、Mac previewの案内,Start a first test → / star / Report your experience,docs/TESTING.md、docs/LOCAL_PREVIEW.ja.md、Issue template、Release,リポジトリを開く→ガイド→依存サービス・モデル準備→アプリ／sourceで試す→Issue報告,READMEの公開内容はGenie。GitHub trafficの人気パスには旧 /FORIFOR/astra が残る。,GitHub内蔵traffic（APIで取得）,設定済み（GitHub traffic APIは読み取り可能）,確認済み,gh repo view / traffic API。stars=0、forks=0、open issues=2、open PR=1、licenseInfo=null。,2026-09-15 00:00 JST
forifor-genie,配布ページ,Genie v0.1.4 developer preview,https://github.com/FORIFOR/genie/releases/tag/v0.1.4,公開中（pre-release）,HTTP 200,Mac developer preview（DMG/ZIP/ガイド）,Download DMG / ZIP,Release asset直リンク,macOS 14+→DMGを取得→Applicationsへ移動→別途gateway/worker/host/modelを準備（README記載）,v0.1.4はpre-releaseで、GitHubのlatest stable表示は旧名Astra v0.1.1。v0.1.4 DMGにmanaged launcherは含まれない（README記載）。,GitHub release downloadCount,設定済み（各assetのカウント取得）,確認済み,gh release view。本文の署名・notarization・test数は資料記載のみで本監査ではcodesign検証していない。,2026-09-15 00:00 JST
forifor-genie,テスター募集,Genie Mac preview testers wanted,https://github.com/FORIFOR/genie/issues/7,公開中（open）,HTTP 200,一つの仕事を試し、結果・最初のつまずきを報告,Issueのフォームから結果を報告,Issue本文／tester_feedback.yml,GitHubログイン→フォーム入力→公開Issue（送信は未実行）,コメント0件・reactionなし。応募者数や実試用人数は測定できない。,GitHub Issue comments/reactions,受信確認済み（0件という現在値のみ）,確認済み,gh issue list/view、HTML HTTP 200。,2026-09-15 00:00 JST
forifor-genie,初回起動ガイド,日本語ローカルプレビューガイド,https://github.com/FORIFOR/genie/blob/main/docs/LOCAL_PREVIEW.ja.md,公開中,未確認（リポジトリAPIで存在確認）,macOSで最初のローカル試験を進める,日本語の初回起動ガイド,ローカル環境→Start Genie.command→Home→初回タスク,Node/Docker/Ollama等を準備→診断→managed launcher→一つの仕事,ブラウザからガイドの実行完了・登録・試用は未検証。,なし,未確認,確認済み,public READMEとrepo treeのリンク。実際の利用は行っていない。,2026-09-15 00:00 JST
forifor-genie,技術記事,Genie Zenn article,https://zenn.dev/forifori/articles/genie-mac-workspace,公開中,HTTP 200,LLMを組み込んだMacアプリの実装・修正・検証の共有,本文内GitHub／動画／ORBITリンク,https://github.com/FORIFOR/genie、https://www.youtube.com/shorts/xOQnOKG_Ndg、ORBIT,記事を読む→GitHub／動画／ORBITへ進む（製品登録はなし）,PVは公開HTMLで取得できず、GitHubスター・試用との因果は計測されていない。,Zenn記事のいいね・コメント（PVは未取得）,受信確認済み（いいね1、コメント0）,確認済み,HTMLでstatus=published、publishedAt、username=forifori、likedCount=1、commentsCount=0を確認。,2026-09-14 23:58 JST
forifor-genie,動画公開,YouTube Shorts: 小さな宇宙,https://www.youtube.com/shorts/xOQnOKG_Ndg,公開中,HTTP 200,Genieでスケッチから動くHTML作品を作る実演,説明欄からGitHub／サイトへ,説明欄のURL（旧 https://github.com/FORIFOR/astra と旧サイトURL）,動画を見る→説明欄リンク→テスター案内,説明欄に旧Astra・旧GitHub URLが残り、現行Genie導線と不一致。,YouTube公開表示（Studio詳細は未確認）,未確認,確認済み,公開HTML videoDetailsでtitle、channel、viewCount=253、likeCount=0を確認。,2026-09-14 23:58 JST
forifor-genie,動画公開,YouTube Shorts: Web見出し改善,https://www.youtube.com/shorts/x74kQKDzHsU,公開中,HTTP 200,Webの見出しをAIと改善しMarkdownで保存する実演,説明欄からGitHub／サイトへ,説明欄のURL（旧 https://github.com/FORIFOR/astra と旧サイトURL）,動画を見る→説明欄リンク→テスター案内,説明欄に旧Astra・旧GitHub URLが残る。,YouTube公開表示（Studio詳細は未確認）,未確認,確認済み,公開HTML videoDetailsでtitle、channel、viewCount=12、likeCount=0を確認。,2026-09-14 23:58 JST
